
ID;Cliente;Pto;Eta;Nave;Contenedor;Status;Sello;Med;Carga;PESO TOTAL;Terminal;Fecha Liberaci�n;Hora Liberaci�n;Fecha programaci�n;Hora Programaci�n;FECHA ARRIBO EN CD;Hora;CD;FechaDesg. (WHATSAPP/ Otawero);HoraDesg;FechaDev;EIR;Agencia;CiaNaviera / LINEA;DepDev;DiasLibres;DEMURRAGE;Sobrestadia Regi�n (x ciclo 2 horas);Sobreestadia (x ciclo de 4 hora);Description;Almc;Dias extras de almacenaje;E.CHASIS;TipodeServicio;ServicioAdicional;OBS 1;OBS 2;SERVICIO DIRECTO;FECHA ACT;HORA ACT;;;;;NAVES CON CONSIDERACI�N;;;;;;;;;;;;;;
142;WALMART;STI;16/08/2025;MSC JULIETTE;ONEU 035632-2;FINALIZADO;CNDM16528;40 HC;4219,5;7720;STI;27-08-25;9:17;28/08/2025;15:00;28/08/2025;15:00;CD El Pe��n;28/08/2025;18:00;30/08/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;19/09/2025;;;PO# 212144/210812;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
143;WALMART;STI;16/08/2025;MSC JULIETTE;ONEU 125111-5;FINALIZADO;CNDM16529;40 HC;4003,5;7504;STI;27-08-25;11:59;28/08/2025;7:00;28/08/2025;7:00;CD El Pe��n;28/08/2025;10:00;30/08/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PO# 212144/210812;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
144;WALMART;STI;16/08/2025;MSC JULIETTE;MOTU 141895-7;FINALIZADO;CNDM16592;40 HC;5040;8540;STI;27-08-25;11:09;29/08/2025;7:00;28/08/2025;21:02;CD El Pe��n;29/08/2025;10:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PO# 210928;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
145;WALMART;STI;16/08/2025;MSC JULIETTE;ONEU 002231-0;FINALIZADO;CNDM16591;40 HC;5040;8540;STI;27-08-25;13:56;29/08/2025;1:00;28/08/2025;21:06;CD El Pe��n;29/08/2025;4:00;02/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PO# 210928;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
146;WALMART;STI;16/08/2025;MSC JULIETTE;TCNU 483867-7;FINALIZADO;CNDM16593;40 HC;5040;8540;STI;27-08-25;18:12;29/08/2025;13:00;29/08/2025;2:01;CD El Pe��n;29/08/2025;16:00;02/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;19/09/2025;;;PO# 210928;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
147;WALMART;STI;16/08/2025;MSC JULIETTE;TCNU 488362-9;FINALIZADO;CNDM16599;40 HC;5040;8540;STI;27-08-25;11:07;29/08/2025;15:00;29/08/2025;15:00;CD El Pe��n;29/08/2025;18:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PO# 210928;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
148;WALMART;STI;16/08/2025;MSC JULIETTE;TGBU 448074-7;FINALIZADO;CNDM16594;40 HC;5040;8540;STI;27-08-25;9:11;29/08/2025;13:00;29/08/2025;2:01;CD El Pe��n;29/08/2025;16:00;02/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PO# 210928;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
149;WALMART;STI;16/08/2025;MSC JULIETTE;TXGU 869554-0;FINALIZADO;CNDM16598;40 HC;5040;8540;STI;27-08-25;17:58;28/08/2025;2:00;28/08/2025;2:00;CD El Pe��n;28/08/2025;5:00;29/08/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;19/09/2025;;;PO# 210928;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
150;WALMART;STI;16/08/2025;MSC JULIETTE;FSCU 861556-7;FINALIZADO;CNDM63016;40 HC;2552;6052;STI;27-08-25;18:38;28/08/2025;17:00;28/08/2025;17:00;CD El Pe��n;28/08/2025;20:00;30/08/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PLASTIC BOTTLE;1;-9;0;INDIRECTO DEPOSITO;DEVOLUCI�N DIA SIGUIENTE ;;;;;;;;;;;;;;;;;;;;;;;;
151;WALMART;STI;16/08/2025;MSC JULIETTE;KKFU 800768-0;FINALIZADO;CNDM65349;40 HC;2552;6052;STI;26-08-25;17:28;29/08/2025;10:00;28/08/2025;22:41;CD El Pe��n;29/08/2025;13:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;19/09/2025;;;PLASTIC BOTTLE;3;-7;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
152;WALMART;STI;16/08/2025;MSC JULIETTE;SEKU 437857-0;FINALIZADO;CNDM65327;40 HC;2552;6052;STI;27-08-25;10:32;29/08/2025;15:00;29/08/2025;15:00;CD El Pe��n;29/08/2025;18:00;02/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PLASTIC BOTTLE;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
153;WALMART;STI;16/08/2025;MSC JULIETTE;TCLU 829939-1;FINALIZADO;CNDM65328;40 HC;2552;6052;STI;27-08-25;10:36;28/08/2025;9:00;28/08/2025;9:00;CD El Pe��n;28/08/2025;12:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PLASTIC BOTTLE;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
154;WALMART;STI;16/08/2025;MSC JULIETTE;TCNU 394447-9;FINALIZADO;CNDM65391;40 HC;2552;6052;STI;27-08-25;11:36;28/08/2025;15:00;28/08/2025;15:00;CD El Pe��n;28/08/2025;18:00;02/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PLASTIC BOTTLE;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
155;WALMART;STI;16/08/2025;MSC JULIETTE;TRHU 780226-5;FINALIZADO;CNDM65348;40 HC;2552;6052;STI;27-08-25;18:25;29/08/2025;18:00;29/08/2025;18:00;CD El Pe��n;29/08/2025;21:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;PLASTIC BOTTLE;2;-8;0;INDIRECTO DEPOSITO;DEVOLUCI�N DIA SIGUIENTE ;;;;;;;;;;;;;;;;;;;;;;;;
156;WALMART;STI;16/08/2025;MSC JULIETTE;FBIU 519789-0;FINALIZADO;CNDP80617;40 HR;6462,5;9963;STI;27-08-25;10:00;28/08/2025;0:00;28/08/2025;0:00;CD El Pe��n;28/08/2025;3:00;29/08/2025;si;SERRANO;ONE LINE;SITRANS SAI;6;22/08/2025;;;OT COL 800ML;1;-9;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
157;WALMART;STI;16/08/2025;MSC JULIETTE;KKFU 809906-9;FINALIZADO;CNDN13127;40 HC;5742;9242;STI;27-08-25;10:24;28/08/2025;13:00;28/08/2025;13:00;CD El Pe��n;28/08/2025;16:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;OT COL 800ML;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
158;WALMART;PCE;26/08/2025;SANTOS EXPRESS;TXGU 807071-7;FINALIZADO;;40H;5427,5;8928;PCE;28-08-25;21:12;01/09/2025;10:00;01/09/2025;10:00;CD Puerto Madero;01/09/2025;15:50;01/09/2025;si;SERRANO;CMA-CGM;TERCOP Walmart;6;01/09/2025;;1;PLASTIC OUTDOOR FURNIT;4;-6;0;Indirecto Deposito;(1) Sobreestadia;;;;;;;;;;;;;;;;;;;;;;;;
159;WALMART;STI;16/08/2025;MSC JULIETTE;TCLU 135064-0;FINALIZADO;CNDP80643;40 HR;3682;7182;STI;27-08-25;18:40;28/08/2025;0:00;28/08/2025;0:00;CD El Pe��n;28/08/2025;3:00;29/08/2025;si;SERRANO;ONE LINE;SITRANS SAI ;6;22/08/2025;;;OT COL 800ML;1;-9;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
160;WALMART;STI;16/08/2025;MSC JULIETTE;TLLU 700039-6;FINALIZADO;CNDP80612;40 HR;6003,5;9504;STI;27-08-25;9:33;28/08/2025;5:00;28/08/2025;5:00;CD El Pe��n;28/09/2025;8:00;29/08/2025;si;SERRANO;ONE LINE;SITRANS SAI;6;22/08/2025;;;OT COL 800ML;1;-9;30;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
161;WALMART;STI;24/08/2025;COSCO AMERICA;TCNU 513169-4;FINALIZADO;M3221640;40H;3840;7340;STI;28-08-25;18:44;01/09/2025;18:00;01/09/2025;18:00;CD El Pe��n;01/09/2025;21:00;02/09/2025;SI;STEPHENS;CMA-CGM;TERCOP  Walmart;6;01/09/2025;;;SHOES;4;-6;0;Indirecto Deposito;Devolucion diferida;;;;;;;;;;;;;;;;;;;;;;;;
162;WALMART;STI;16/08/2025;MSC JULIETTE;MOAU 660062-8;FINALIZADO;CNDK64073;20 ST;5720;9220;STI;28-08-25;18:31;29/08/2025;17:00;29/08/2025;17:00;CD El Pe��n;29/08/2025;20:00;04/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;19/09/2025;;;COMEDOR ESTOCOL PO2049;1;-9;0;INDIRECTO DEPOSITO;DEVOLUCI�N DIA SIGUIENTE ;;;;;;;;;;;;;;;;;;;;;;;;
163;WALMART;STI;16/08/2025;MSC JULIETTE;ONEU 007177-8;FINALIZADO;CN44989AW;40 HC;14655;18155;STI;29-08-25;9:20;29/08/2025;13:00;29/08/2025;13:00;CD El Pe��n;29/08/2025;16:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;GLASSWARE  FRASCO DISENO;0;-10;0;DIRECTO;N/A;;;s�;;;;;;;;;;;;;;;;;;;;;
164;WALMART;STI;16/08/2025;MSC JULIETTE;ONEU 902711-7;FINALIZADO;CN06151AW;40 HC;9608;13108;STI;27-08-25;20:16;28/08/2025;5:00;28/08/2025;5:00;CD El Pe��n;28/08/2025;8:00;29/08/2025;si;SERRANO;ONE LINE;SITRANS SAI ;6;22/08/2025;;;GLASSWARE  FRASCO DISENO;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
165;WALMART;STI;16/08/2025;MSC JULIETTE;SEGU 552206-0;FINALIZADO;CN51890AS;40 HC;6360;9860;STI;28-08-25;8:30;29/08/2025;13:00;29/08/2025;13:00;CD Puerto Madero;29/08/2025;16:00;30/08/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;19/09/2025;;;FURNITURE;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
166;WALMART;STI;16/08/2025;MSC JULIETTE;TRHU 682082-9;FINALIZADO;IN1518054;40 HC;6444;9944;STI;28-08-25;14:10;29/08/2025;5:00;28/08/2025;21:07;CD El Pe��n;29/08/2025;8:00;01/09/2025;si;SERRANO;ONE LINE;SITRANS Walmart;6;22/08/2025;;;BOYS T.SHIRT;1;-9;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
167;WALMART;STI;18/08/2025;MAERSK ALGOL;MSKU 708691-1;FINALIZADO;ML-TH1097671;20 ST;7601,5;11102;STI;22-08-25;18:46;26/08/2025;10:00;26/08/2025;9:00;CD Puerto Madero;26/08/2025;12:00;26/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;RUBBERWOOD INDOOR FURNIT;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
168;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 328733-0;FINALIZADO;ML-CN0640742;40 HC;5607;9107;STI;23-08-25;11:07;27/08/2025;5:00;27/08/2025;5:00;CD El Pe��n;27/08/2025;8:00;29/08/2025;si;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;INFLATABLE JACK;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
169;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 067246-2;FINALIZADO;CN3690134;40 HC;4207;7707;STI;22-08-25;20:32;27/08/2025;0:00;27/08/2025;0:00;CD El Pe��n;27/08/2025;3:00;27/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;PLASTIC TOY,HOLIDAY DE;5;-5;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
170;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 082583-3;FINALIZADO;CN3690024;40 HC;2736;6236;STI;22-08-25;16:10;27/08/2025;15:00;27/08/2025;17:00;CD El Pe��n;27/08/2025;19:00;29/08/2025;si;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;PLASTIC TOY,HOLIDAY DE;5;-5;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
171;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 094843-7;FINALIZADO;CN3680181;40 HC;4843;8343;STI;22-08-25;9:57;26/08/2025;5:00;25/08/2025;19:15;CD El Pe��n;26/08/2025;9:00;27/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;PLASTIC TOY,HOLIDAY DE;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
172;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 467340-4;FINALIZADO;CN1575810;40 HC;2974,5;6475;STI;22-08-25;18:29;26/08/2025;9:00;25/08/2025;18:45;CD El Pe��n;26/08/2025;15:00;26/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;PLASTIC TOY,HOLIDAY DE;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
173;WALMART;STI;18/08/2025;MAERSK ALGOL;FFAU 731672-9;FINALIZADO;CN1477472;40 HC;12529;16029;STI;22-08-25;18:41;26/08/2025;7:00;25/08/2025;18:40;CD El Pe��n;26/08/2025;10:00;;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;ASSORTED NONSTICK ALU;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
174;WALMART;STI;18/08/2025;MAERSK ALGOL;BEAU 636166-7;FINALIZADO;CN1593498;40 HC;11258,5;14759;STI;23-08-25;13:55;26/08/2025;1:00;25/08/2025;19:20;CD El Pe��n;26/08/2025;4:00;;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;HOUSEWARE ITEMS;3;-7;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
175;WALMART;STI;18/08/2025;MAERSK ALGOL;MNBU 386448-0;FINALIZADO;CN1506898;40 HR;9960,5;13461;STI;23-08-25;13:34;26/08/2025;9:00;25/08/2025;19:10;CD El Pe��n;26/08/2025;12:00;;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;HOUSEWARE ITEMS;3;-7;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
176;WALMART;STI;18/08/2025;MAERSK ALGOL;MNBU 436290-6;FINALIZADO;CN1506872;40 HR;7054,5;10555;STI;23-08-25;10:00;26/08/2025;15:00;26/08/2025;15:00;CD El Pe��n;26/08/2025;17:00;;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;HOUSEWARE ITEMS;3;-7;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
177;WALMART;STI;18/08/2025;MAERSK ALGOL;MNBU 454470-5;FINALIZADO;CN1506900;40 HR;11853,5;15354;STI;23-08-25;9:05;26/08/2025;15:00;26/08/2025;15:00;CD El Pe��n;26/08/2025;17:00;30/08/2025;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;HOUSEWARE ITEMS;3;-7;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
178;WALMART;STI;18/08/2025;MAERSK ALGOL;MSKU 104978-3;FINALIZADO;CN1670987;40 HC;15291,5;18792;STI;27-08-25;17:00;29/08/2025;0:00;28/08/2025;19:47;CD El Pe��n;29/08/2025;3:00;01/09/2025;si;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;HOUSEWARE ITEMS;2;-8;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
179;WALMART;STI;18/08/2025;MAERSK ALGOL;CAAU 469494-8;FINALIZADO;ML-CN2486409;40 HC;5230;8730;STI;21-08-25;18:25;25/08/2025;17:00;25/08/2025;12:00;CD El Pe��n;25/08/2025;14:00;;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;MENS PULLOVER;4;-6;0;INDIRECTO DEPOSITO;DEVOLUCI�N D�A SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
180;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 897585-0;FINALIZADO;ML-CN2526787;20 ST;1288,5;4789;STI;22-08-25;20:42;28/08/2025;18:00;28/08/2025;18:00;CD El Pe��n;28/08/2025;21:00;29/08/2025;si;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;MENS PULLOVER;6;-4;0;INDIRECTO DEPOSITO;DEVOLUCI�N DIA SIGUIENTE ;;;;;;;;;;;;;;;;;;;;;;;;
181;WALMART;STI;18/08/2025;MAERSK ALGOL;MNBU 354556-4;FINALIZADO;ML-CN2380211;40 HR;2863,5;6364;STI;23-08-25;9:06;26/08/2025;12:00;26/08/2025;12:00;CD Puerto Madero;26/08/2025;15:00;27/08/2025;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;CARRO COMPRA;3;-7;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
182;WALMART;STI;18/08/2025;MAERSK ALGOL;HASU 134100-8;FINALIZADO;ML-CN1832105;20 ST;1182,5;4683;STI;22-08-25;17:00;26/08/2025;12:00;26/08/2025;12:00;CD Puerto Madero;26/08/2025;15:00;;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;TOY PO212275;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
183;WALMART;STI;18/08/2025;MAERSK ALGOL;CAAU 812998-7;FINALIZADO;ML-CN1875598;40 HC;2998;6498;STI;22-08-25;10:58;26/08/2025;12:00;26/08/2025;12:00;CD Puerto Madero;26/08/2025;15:00;26/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;TOY PO208576;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
184;WALMART;STI;18/08/2025;MAERSK ALGOL;MRKU 415621-1;FINALIZADO;ML-CN1875885;40 HC;5172;8672;STI;23-08-25;13:18;26/08/2025;10:00;26/08/2025;10:00;CD Puerto Madero;26/08/2025;13:00;;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;TOY PO208576;3;-7;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
185;WALMART;STI;18/08/2025;MAERSK ALGOL;MRSU 577897-4;FINALIZADO;ML-CN1879245;40 HC;5247;8747;STI;23-08-25;13:20;26/08/2025;12:00;26/08/2025;12:00;CD Puerto Madero;26/08/2025;15:00;26/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;TOY PO208576;3;-7;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
186;WALMART;STI;18/08/2025;MAERSK ALGOL;MRSU 725026-6;FINALIZADO;ML-CN1875867;40 HC;5173;8673;STI;21-08-25;16:14;26/08/2025;10:00;26/08/2025;10:00;CD Puerto Madero;26/08/2025;13:00;26/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;TOY PO208576;5;-5;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
187;WALMART;STI;18/08/2025;MAERSK ALGOL;MRSU 666079-6;FINALIZADO;ML-CN1875832;40 HC;6697;10197;STI;22-08-25;11:00;27/08/2025;10:00;27/08/2025;10:00;CD Puerto Madero;27/08/2025;13:00;;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;TOYS PO210056;5;-5;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
188;WALMART;STI;18/08/2025;MAERSK ALGOL;HASU 509832-3;FINALIZADO;ML-CN0612203;40 HC;4958;8458;STI;21-08-25;18:30;25/08/2025;9:00;25/08/2025;9:00;CD El Pe��n;25/08/2025;11:00;25/08/2025;SI;SERRANO;MAERSK;Contopsa Walmart;6;24/08/2025;;;SHOES;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
189;WALMART;STI;18/08/2025;MAERSK ALGOL;MNBU 329527-5;FINALIZADO;ML-CN0604932;40 HR ;4251;7751;STI;21-08-25;18:14;25/08/2025;1:00;25/08/2025;1:00;CD El Pe��n;25/08/2025;4:00;25/08/2025;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;SHOES;4;-6;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
190;WALMART;STI;18/08/2025;MAERSK ALGOL;MNBU 393519-8;FINALIZADO;ML-CN3159163;40 HR ;4360;7860;STI;21-08-25;18:20;25/08/2025;1:00;25/08/2025;1:00;CD El Pe��n;25/08/2025;4:00;28/08/2025;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;SHOES;4;-6;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
191;WALMART;STI;18/08/2025;MAERSK ALGOL;SUDU 678124-0;FINALIZADO;ML-CN0639935;40 HC;4958;8458;STI;23-08-25;10:58;27/08/2025;15:00;27/08/2025;16:30;CD El Pe��n;27/08/2025;18:00;29/08/2025;si;SERRANO;MAERSK;Sitrans Walmart;6;24/08/2025;;;SHOES;4;-6;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
192;WALMART;STI;18/08/2025;MAERSK ALGOL;MMAU 133359-3;FINALIZADO;;40 HR ;23500;27000;SITRANS SAI;27-08-25;12:40;28/08/2025;14:30;28/08/2025;14:30;CD Quilicura ;28/08/2025;17:30;29/08/2025;SI;SERRANO;MAERSK;Contopsa SAI;6;24/08/2025;;;;1;-9;;Reefer;SOBREPESO;;;;;;;;;;;;;;;;;;;;;;;;
193;WALMART;STI;24/08/2025;COSCO AMERICA;CMAU 835567-6;FINALIZADO;M3149872;40;25950;29450;STI;29-08-25;9:24;01/09/2025;1:00;01/09/2025;0:00;CD El Pe��n;01/09/2025;3:00;02/09/2025;si;STEPHENS;CMA-CGM;Tercop Walmart;6;30/08/2025;;;CERAMIC DINNERWARE;3;-7;0;Indirecto Deposito;Habilitacion nocturna +  sobrepeso;;;;;;;;;;;;;;;;;;;;;;;;
194;WALMART;PCE;19/08/2025;ISTANBUL EXPRESS;HAMU 195108-2;FINALIZADO;4115-4116;40 HC;9282;12782;PCE;22-08-25;17:30;27/08/2025;8:00;27/08/2025;8:45;CD Campos de Chile;27/08/2025;11:00;28/08/2025;SI;SERRANO;HAPAG;DYC SAI;6;25/08/2025;;;ROASTED AND GROUND COFFE;5;-5;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
195;WALMART;PCE;19/08/2025;ISTANBUL EXPRESS;HAMU 145722-8;FINALIZADO;;40 HC;7593;11093;PCE;25-08-25;10:50;28/08/2025;1:00;28/08/2025;1:00;CD El Pe��n;28/08/2025;4:00;04/09/2025;si;SERRANO;CMA-CGM;DYC VAP;6;19/09/2025;;;;3;-7;0;INDIRECTO DEPOSITO;N/A;;;;;;;;;;;;;;;;;;;;;;;;
196;WALMART;PCE;19/08/2025;ISTANBUL EXPRESS;CXRU 161054-9;FINALIZADO;;40 HR;12000;15500;SITRANS SAI;28-08-25;12:45;29/08/2025;22:30;29/08/2025;22:30;CD Quilicura;30/08/2025;1:30;01/09/2025;SI;SERRANO;CMA-CGM;TEPORVAL;6;25/08/2025;;;PI�A;1;-9;;Reefer;DEVOLUCI�N DIA SIGUIENTE ;;07�;;;;;;;;;;;;;;;;;;;;;;
197;WALMART;PCE;19/08/2025;ISTANBUL EXPRESS;BMOU 965649-7;FINALIZADO;;40 HR ;24038;27538;SITRANS SAI;28-08-25;12:45;30/08/2025;7:00;30/08/2025;7:00;CD Quilicura;30/08/2025;10:00;30/08/2025;SI;SERRANO;CMA-CGM;TEPORVAL;6;25/08/2025;;;;2;-8;;Reefer;SOBREPESO ;;;;;;;;;;;;;;;;;;;;;;;;
198;WALMART;TPS;17/08/2025;HMM BLESSING;IKSU 251076-2;FINALIZADO;CN87032AS;40 HC;20385,5;23886;ZEAL;22-08-25;21:33;27/08/2025;14:30;27/08/2025;14:30;CD Quilicura;27/08/2025;17:30;;SI;STEPHENS;ONE LINE;SITRANS VAP;6;23/08/2025;;;WET WIPES;5;-25;0;INDIRECTO DEPOSITO;N/A;considerar 30 dias libres;;;;;;;;;;;;;;;;;;;;;;;
199;WALMART;TPS;17/08/2025;HMM BLESSING;TLLU 700043-6;FINALIZADO;CN04113AU;40 HC;20385,5;23886;ZEAL;22-08-25;20:42;28/08/2025;14:30;28/08/2025;14:30;CD Quilicura ;28/08/2025;17:30;29/08/2025;si;STEPHENS;ONE LINE;SITRANS VAP;6;23/08/2025;;;WET WIPES;6;-24;0;INDIRECTO DEPOSITO;N/A;considerar 30 dias libres;;;;;;;;;;;;;;;;;;;;;;;
200;WALMART;TPS;17/08/2025;HMM BLESSING;ONEU 920399-9;FINALIZADO;CN85720AS;40 HC;20385,5;23886;ZEAL;22-08-25;20:18;28/08/2025;22:30;28/08/2025;22:30;CD Quilicura ;28/08/2025;23:59;29/08/2025;SI;STEPHENS;ONE LINE;SITRANS VAP;6;23/08/2025;;;WET WIPES;6;-24;0;INDIRECTO DEPOSITO;DEVOLUCI�N DIA SIGUIENTE ;considerar 30 dias libres;;;;;;;;;;;;;;;;;;;;;;;
201;WALMART;TPS;17/08/2025;HMM BLESSING;OTPU 190302-8;FINALIZADO;CN04073AU;40 HC;20385,5;23886;ZEAL;22-08-25;21:24;27/08/2025;7:00;27/08/2025;7:00;CD Quilicura;27/08/2025;10:00;;SI;STEPHENS;ONE LINE;SITRANS VAP;6;23/08/2025;;;WET WIPES;5;-25;0;INDIRECTO DEPOSITO;N/A;considerar 30 dias libres;;;;;;;;;;;;;;;;;;;;;;;
