
ID;Cliente;Pto;Eta;Nave;Contenedor;Status;Sello;Med;Carga;PESO TOTAL;Terminal;Fecha Liberaci�n;Hora Liberaci�n;Fecha programaci�n;Hora Programaci�n;FECHA ARRIBO EN CD;Hora;CD;FechaDesg. (WHATSAPP/ Otawero);HoraDesg;FechaDev;EIR;Agencia;CiaNaviera / LINEA;DepDev;DiasLibres;DEMURRAGE;Sobrestadia Regi�n (x ciclo 2 horas);Sobreestadia (x ciclo de 4 hora);Description;Almc;Dias extras de almacenaje;E.CHASIS;TipodeServicio;ServicioAdicional;OBS 1;OBS 2;SERVICIO DIRECTO;FECHA ACT;HORA ACT;;;;;NAVES CON CONSIDERACI�N;;;;;;;;;;;;;;
13;WALMART;STI;07/08/2025;MAJESTIC;ONEU 911235-3;FINALIZADO;;40 HR ;14047;17547;CONTOPSA SAI;20-08-25;12:43;21/08/2025;7:00;21/08/2025;7:33;CD Quilicura;21/08/2025;11:32;21/08/2025;SI;SERRANO;CMA-CGM;DYC Vap;6;17/08/2025;;;;1;-9;0;Reefer;N/A;;;;;;;;;;;;;;;;;;;;;;;;
14;WALMART;STI;07/08/2025;MAJESTIC;TLLU 107476-6;FINALIZADO;;40 HR ;16000;19500;CONTOPSA SAI;20-08-25;12:43;27/08/2025;7:00;27/08/2025;7:00;CD Quilicura;27/08/2025;10:00;28/08/2025;SI;SERRANO;CMA-CGM;DYC Vap;6;17/08/2025;;;;7;-3;0;Reefer;(1 conexi�n);;;;;;;;;;;;;;;;;;;;;;;;
15;WALMART;STI;07/08/2025;VALPARAISO EXPRESS;CGMU 513291-2;FINALIZADO;;40 HR ;24250;27750;CONTOPSA SAI;20-08-25;12:43;21/08/2025;7:00;21/08/2025;6:23;CD Quilicura;21/08/2025;8:40;21/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;17/08/2025;;;;1;-9;0;Reefer;SOBREPESO;;;;;;;;;;;;;;;;;;;;;;;;
16;WALMART;STI;09/08/2025;COSCO PACIFIC;BEAU 561238-8;FINALIZADO;M2743478;40 HC;6092;9592;STI;12-08-25;10:54;13/08/2025;0:00;12/08/2025;22:30;CD El Pe��n;13/08/2025;0:00;13/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;CAR CLEANING PRODUCTS;1;-9;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
17;WALMART;STI;09/08/2025;COSCO PACIFIC;APHU 658076-7;FINALIZADO;M2749875;40 HC;19700;23200;STI;12-08-25;8:54;16/08/2025;0:00;15/08/2025;9:59;CD El Pe��n;16/08/2025;12:40;18/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;MIRROR FRAME;4;-6;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
18;WALMART;STI;09/08/2025;COSCO PACIFIC;TRHU 528576-0;FINALIZADO;M2749406;40 HC;19700;23200;STI;12-08-25;21:40;14/08/2025;0:00;13/08/2025;21:26;CD El Pe��n;14/08/2025;0:00;14/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;MIRROR FRAME;2;-8;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
19;WALMART;STI;09/08/2025;COSCO PACIFIC;CGMU 699600-4;FINALIZADO;M2740319;40 HR ;4863;8363;STI;12-08-25;11:18;13/08/2025;1:00;12/08/2025;20:39;CD El Pe��n;13/08/2025;1:00;13/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;14/09/2025;;;LADY'S KNITTED VEST;1;-9;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
20;WALMART;STI;09/08/2025;COSCO PACIFIC;CGMU 573231-0;FINALIZADO;M3221224;40 HR ;10382;13882;STI;13-08-25;13:22;16/08/2025;1:00;15/08/2025;11:57;CD El Pe��n;15/08/2025;20:00;19/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;15/08/2025;;;"GLASS BOTTLE;GLASS CUP";3;-7;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
21;WALMART;STI;09/08/2025;COSCO PACIFIC;CGMU 573356-0;FINALIZADO;M3221086;40 HR ;8010;11510;STI;12-08-25;10:38;13/08/2025;15:00;13/08/2025;11:57;CD El Pe��n;13/08/2025;15:00;13/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;14/09/2025;;;"GLASS BOTTLE;GLASS CUP";1;-9;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
22;WALMART;STI;09/08/2025;COSCO PACIFIC;TEMU 984436-9;FINALIZADO;M2741862;40 HR ;11217,5;14718;STI;13-08-25;9:37;16/08/2025;5:00;15/08/2025;10:13;CD El Pe��n;16/08/2025;7:00;19/082025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;15/08/2025;;;"GLASS BOTTLE;GLASS CUP";3;-7;0;Indirecto Deposito;N/A;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
23;WALMART;STI;09/08/2025;COSCO PACIFIC;CAIU 850829-0;FINALIZADO;M2749411;40 HC;4838;8338;STI;12-08-25;10:56;25/08/2025;7:00;25/08/2025;7:00;CD Puerto Madero;25/08/2025;10:00;25/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
24;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 827199-7;FINALIZADO;M2748193;40 HC;7330,5;10831;STI;12-08-25;13:16;26/08/2025;7:00;26/08/2025;7:00;CD Puerto Madero;26/08/2025;10:00;26/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;14;4;0;Indirecto Deposito;D�AS ALMACENAJE (4);;;;;;;;;;;;;;;;;;;;;;;;
25;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 827758-9;FINALIZADO;M2748242;40 HC;3418,5;6919;STI;12-08-25;13:30;13/08/2025;17:00;13/08/2025;18:31;CD El Pe��n;13/08/2025;19:30;14/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;14/09/2025;;;CAR CLEANING PRODUCTS;1;-9;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
26;WALMART;STI;09/08/2025;COSCO PACIFIC;GESU 689994-2;FINALIZADO;M2749893;40 HC;9650;13150;STI;12-08-25;20:12;27/08/2025;7:00;27/08/2025;7:00;CD Puerto Madero;27/08/2025;10:00;27/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;15;5;0;Indirecto Deposito;D�AS ALMACENAJE (5);;;;;;;;;;;;;;;;;;;;;;;;
27;WALMART;STI;09/08/2025;COSCO PACIFIC;TCLU 434054-2;FINALIZADO;M2748195;40 HC;4680;8180;STI;11-08-25;17:04;25/08/2025;12:00;25/08/2025;12:00;CD Puerto Madero;25/08/2025;15:00;25/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;14;4;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(4);;;;;;;;;;;;;;;;;;;;;;;;
28;WALMART;STI;09/08/2025;COSCO PACIFIC;TRLU 872306-6;FINALIZADO;M2748244;40 HC;4370;7870;STI;12-08-25;21:17;25/08/2025;10:00;25/08/2025;10:00;CD Puerto Madero;25/08/2025;12:00;25/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
29;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 832191-1;FINALIZADO;M2744639;40 HC;4800;8300;STI;12-08-25;18:28;26/08/2025;7:00;26/08/2025;7:00;CD Puerto Madero;26/08/2025;10:00;26/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;14;4;0;Indirecto Deposito;D�AS ALMACENAJE (4);;;;;;;;;;;;;;;;;;;;;;;;
30;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 912231-8;FINALIZADO;M2744607;40 HC;4680;8180;STI;12-08-25;20:24;23/08/2025;7:00;23/08/2025;7:00;CD Puerto Madero;23/08/2025;10:00;23/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;11;1;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(1);;;;;;;;;;;;;;;;;;;;;;;;
